event_id,event_type,city,venue_capacity,is_indoor,date,weekday,is_weekend,holiday,start_time_hour,duration_hours,ticket_price,promotion_days,promo_channels_count,organizer_reputation,lead_time_days,competing_events_same_day,weather_temp_c,weather_is_rain,weather_rain_mm,historical_avg_attendance,promotion_budget,attendance
EVT0000,sports,Mumbai,3000,1,2024-06-24,Monday,0,0,18,3.0,940.0,3,4,3,69,2,28.3,0,1.9,813,2000.0,2029
EVT0001,seminar,Hyderabad,3000,1,2025-04-18,Friday,0,0,14,3.0,46.0,5,1,3,80,3,27.7,0,0.0,969,0.0,1841
EVT0002,concert,Pune,800,1,2024-06-04,Tuesday,0,0,21,3.0,1284.0,21,0,2,41,3,28.5,1,8.6,346,10000.0,800
EVT0003,seminar,Pune,500,1,2025-10-18,Saturday,1,0,15,1.5,169.0,3,2,4,52,1,22.7,0,2.3,253,5000.0,500
EVT0004,seminar,Indore,300,0,2024-12-06,Friday,0,0,19,2.0,234.0,8,2,4,8,4,24.5,0,1.9,90,5000.0,300
EVT0005,seminar,Pune,200,1,2025-09-13,Saturday,1,0,15,2.0,108.0,11,1,2,63,0,19.2,1,3.0,91,5000.0,200
EVT0006,Stand-up,Pune,300,1,2025-04-22,Tuesday,0,0,10,4.0,389.0,13,3,2,11,0,23.6,0,0.7,96,2000.0,300
EVT0007,concert,Delhi,150,0,2025-02-18,Tuesday,0,0,11,2.0,587.0,4,3,1,45,3,20.3,0,0.0,74,5000.0,150
EVT0008,festival,Indore,500,0,2024-06-22,Saturday,1,0,14,2.0,208.0,14,4,2,84,2,25.6,1,9.2,211,2000.0,500
EVT0009,concert,Bengaluru,1200,0,2024-08-19,Monday,0,0,21,1.5,1009.0,27,4,2,69,3,34.5,0,3.0,317,0.0,1143
EVT0010,Stand-up,Mumbai,150,1,2025-11-07,Friday,0,0,12,4.0,546.0,26,0,4,40,0,24.1,0,1.2,50,10000.0,150
EVT0011,seminar,Pune,200,1,2025-05-08,Thursday,0,0,9,1.5,59.0,5,1,3,75,3,23.4,0,0.0,79,10000.0,200
EVT0012,seminar,Bengaluru,500,1,2024-04-04,Thursday,0,0,21,2.0,221.0,5,4,5,63,2,26.1,1,7.5,163,10000.0,500
EVT0013,concert,Mumbai,150,0,2025-04-26,Saturday,1,0,16,3.0,1462.0,3,3,1,51,4,33.5,0,0.0,27,2000.0,0
EVT0014,seminar,Mumbai,500,1,2024-04-23,Tuesday,0,0,18,3.0,127.0,18,1,3,55,3,25.6,0,0.0,359,2000.0,500
EVT0015,sports,Hyderabad,200,0,2025-12-03,Wednesday,0,1,11,2.0,427.0,4,4,5,74,4,21.5,1,5.3,72,0.0,200
EVT0016,seminar,Indore,500,1,2025-07-19,Saturday,1,0,18,3.0,75.0,1,2,1,79,2,33.3,1,3.7,116,2000.0,500
EVT0017,seminar,Indore,3000,0,2025-09-03,Wednesday,0,0,13,3.0,160.0,19,3,4,72,3,25.6,0,0.0,1093,0.0,2643
EVT0018,Stand-up,Delhi,500,1,2024-06-13,Thursday,0,0,15,2.0,573.0,11,0,4,34,2,30.3,1,9.5,232,2000.0,500
EVT0019,sports,Bengaluru,1200,1,2025-07-15,Tuesday,0,0,9,3.0,275.0,25,4,1,20,2,34.3,1,1.3,467,5000.0,1036
EVT0020,festival,Indore,300,0,2025-06-22,Sunday,1,0,18,1.5,228.0,18,0,1,54,2,18.8,0,0.7,138,5000.0,300
EVT0021,concert,Delhi,800,1,2025-11-04,Tuesday,0,0,18,3.0,1238.0,20,3,2,39,1,24.1,0,0.1,301,10000.0,800
EVT0022,festival,Mumbai,2000,0,2024-09-11,Wednesday,0,0,13,2.0,380.0,11,3,5,70,0,27.2,0,0.0,198,10000.0,2000
EVT0023,sports,Mumbai,500,1,2024-02-13,Tuesday,0,0,13,2.0,997.0,27,3,4,41,2,24.2,0,1.9,252,0.0,224
EVT0024,seminar,Pune,1200,1,2025-11-01,Saturday,1,0,19,4.0,15.0,19,4,1,20,1,15.0,0,0.0,59,0.0,838
EVT0025,festival,Hyderabad,150,0,2025-02-21,Friday,0,0,14,1.5,340.0,15,2,4,20,3,21.6,0,0.0,51,5000.0,150
EVT0026,festival,Pune,2000,1,2025-07-02,Wednesday,0,0,14,1.5,183.0,2,3,1,64,1,28.7,0,1.5,908,20000.0,2000
EVT0027,Stand-up,Indore,200,0,2025-07-19,Saturday,1,0,15,2.0,238.0,14,0,1,47,4,31.3,1,7.0,79,0.0,0
EVT0028,Stand-up,Hyderabad,500,1,2024-12-16,Monday,0,0,15,2.0,423.0,17,1,3,44,0,22.7,0,0.0,279,10000.0,500
EVT0029,concert,Mumbai,2000,0,2024-12-14,Saturday,1,0,20,2.0,943.0,23,1,2,46,1,24.4,1,9.3,909,10000.0,2000
EVT0030,Stand-up,Indore,1200,1,2024-09-09,Monday,0,0,18,2.0,281.0,4,1,4,77,3,22.8,0,1.8,379,0.0,973
EVT0031,sports,Pune,500,1,2024-12-18,Wednesday,0,1,15,1.5,870.0,25,4,5,17,2,27.3,1,10.2,166,5000.0,500
EVT0032,sports,Delhi,2000,1,2024-06-13,Thursday,0,0,21,2.0,594.0,8,0,3,6,0,24.9,1,3.5,874,5000.0,1577
EVT0033,sports,Pune,300,0,2025-08-02,Saturday,1,0,21,2.0,927.0,23,3,5,76,2,23.0,0,0.0,80,5000.0,300
EVT0034,festival,Mumbai,150,1,2025-05-05,Monday,0,0,16,2.0,111.0,9,0,3,83,2,23.4,0,0.0,90,0.0,150
EVT0035,sports,Mumbai,2000,0,2025-07-20,Sunday,1,0,9,3.0,975.0,13,3,3,12,4,22.1,1,11.5,304,5000.0,985
